עיר,רחוב,שם הצהרון,גיל,תאריך,יום,חוג/הפעלה,שעה,קבוצה,איש קשר,מדריכה
באר יעקב,רח' כינור 9,גן אקליפטוס,,22/07/26,יום רביעי,חוג בוקר,09:00,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן יוסף (חב""ד)",,22/07/26,יום רביעי,חוג בוקר,09:50,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן תלמי אור (מ""מד)",,22/07/26,יום רביעי,חוג בוקר,10:35,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן לוי יצחק (חב""ד)",,22/07/26,יום רביעי,חוג בוקר,11:20,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן רגבי אור (חב""ד)",,22/07/26,יום רביעי,חוג בוקר,12:05,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' כינור 9,גן אקליפטוס,,29/07/26,יום רביעי,חוג בוקר,09:00,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן יוסף (חב""ד)",,29/07/26,יום רביעי,חוג בוקר,09:50,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן תלמי אור (מ""מד)",,29/07/26,יום רביעי,חוג בוקר,10:35,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן לוי יצחק (חב""ד)",,29/07/26,יום רביעי,חוג בוקר,11:20,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' לאה גולדברג 2,"גן רגבי אור (חב""ד)",,29/07/26,יום רביעי,חוג בוקר,12:05,באר יעקב - 2,נוי - 054-279-9313,סתיו דהן
באר יעקב,רח' שוהם 21,"גן מנחם (חב""ד)",,30/07/26,יום חמישי,חוג בוקר,09:00,באר יעקב - 1,נוי - 054-279-9313,גל סחייק
באר יעקב,רח' שוהם 21,"גן רבקה (חב""ד)",,30/07/26,יום חמישי,חוג בוקר,09:45,באר יעקב - 1,נוי - 054-279-9313,גל סחייק
באר יעקב,רח' שוהם 21,"גן חיה (חב""ד)",,30/07/26,יום חמישי,חוג בוקר,10:30,באר יעקב - 1,נוי - 054-279-9313,גל סחייק
באר יעקב,רח' שוהם 21,"גן חנה (חב""ד)",,30/07/26,יום חמישי,חוג בוקר,11:15,באר יעקב - 1,נוי - 054-279-9313,גל סחייק
"פ""ת",רח' אבינועם ילין 2,גן לילך,3,22/07/26,יום רביעי,חוג בוקר,09:00,"פ""ת - 7",אבי - 054-9052207,רמי שמש
"פ""ת",רח' אבינועם ילין 2,גן חצב,5,22/07/26,יום רביעי,חוג בוקר,09:45,"פ""ת - 7",אבי - 054-9052207,רמי שמש
"פ""ת",רח' קרן קימת לישראל 40,גן רוזמרין,4,22/07/26,יום רביעי,חוג בוקר,10:40,"פ""ת - 7",אבי - 054-9052207,רמי שמש
"פ""ת",רח' קרן קימת לישראל 40,גן צלף,5,22/07/26,יום רביעי,חוג בוקר,11:25,"פ""ת - 7",גל - 054-4733717,רמי שמש
"פ""ת",רח' אפרתי שמחה 4 (דרך הגינה),גן גלים,5,22/07/26,יום רביעי,חוג צהרון,13:45,"פ""ת - 3",אבי - 054-9052207,מורן דגיר
"פ""ת",רח' רחל המשוררת 12,גן קורל,3,22/07/26,יום רביעי,חוג צהרון,14:30,"פ""ת - 3",גל - 054-4733717,מורן דגיר
"פ""ת",רח' הרב וולף 3,"גן ברק (חמ""ד)",5,28/07/26,יום שלישי,חוג בוקר,09:00,"פ""ת - 6",אבי - 054-9052207,רמי שמש
"פ""ת",רח' היבנר 29,גן כוכב,4,28/07/26,יום שלישי,חוג בוקר,09:50,"פ""ת - 6",אבי - 054-9052207,רמי שמש
"פ""ת",רח' היבנר 29,גן אביב,5,28/07/26,יום שלישי,חוג בוקר,10:35,"פ""ת - 6",אבי - 054-9052207,רמי שמש
"פ""ת",רח' ליסין 6,"גן רקיע (חמ""ד)",04-מאי,28/07/26,יום שלישי,חוג בוקר,11:25,"פ""ת - 6",אבי - 054-9052207,רמי שמש
"פ""ת",רח' ליסין 6,גן שובל(מונטסורי),3,28/07/26,יום שלישי,חוג בוקר,12:10,"פ""ת - 6",אבי - 054-9052207,רמי שמש
"פ""ת",רח' רחל המשוררת 8,"גן צדף (חמ""ד)",04-מאי,28/07/26,יום שלישי,חוג צהרון,13:45,"פ""ת - 3",גל - 054-4733717,מורן דגיר
"פ""ת",רח' רחל המשוררת 8,גן סהר,4,28/07/26,יום שלישי,חוג צהרון,14:30,"פ""ת - 3",גל - 054-4733717,מורן דגיר
"פ""ת",רח' אבינועם ילין 2,גן לילך,3,29/07/26,יום רביעי,חוג בוקר,09:00,"פ""ת - 7",אבי - 054-9052207,רמי שמש
"פ""ת",רח' אבינועם ילין 2,גן חצב,5,29/07/26,יום רביעי,חוג בוקר,09:45,"פ""ת - 7",אבי - 054-9052207,רמי שמש
"פ""ת",רח' קרן קימת לישראל 40,גן רוזמרין,4,29/07/26,יום רביעי,חוג בוקר,10:40,"פ""ת - 7",אבי - 054-9052207,רמי שמש
